 Scan No., Date, Room Id, In/Out, Room Type, MAC, Signal Strength
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:60,-90
3, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:62,-92
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a4,-61
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a1,-62
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a2,-62
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a0,-63
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-64
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:aa,-64
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-65
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e9,-65
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:ec,-65
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-65
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:ea,-65
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:ac,-66
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:50,-67
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:51,-67
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a9,-70
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-73
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:49,-75
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-76
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e1,-76
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:48,-76
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e0,-77
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e2,-77
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:4c,-77
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e0,-78
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:4a,-78
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e4,-79
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e2,-79
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e0,-80
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e4,-81
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:ea,-81
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e1,-82
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:41,-82
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:42,-82
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-82
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:41,-83
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:ec,-83
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:44,-84
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:40,-84
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:42,-85
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-86
4, 2014-Sep-19, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e9,-86
