LocationId, ScanNo, Date, Time, RoomId, InOut, RoomType, MAC, SignalStrength, Connected
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:41,-83, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:ec,-83, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:44,-84, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:40,-84, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:42,-85, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e8,-86, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:43:e9,-86, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:9a:44,-87, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:60,-87, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:62,-88, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:61,-89, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:7a:64,-89, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:59:6a,-91, No
1,4, 2014-Sep-19, 17:12:21, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:59:68,-93, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b8:76:a8,-65, Yes
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e9,-65, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:b6:98:e8,-65, No
1,5, 2014-Sep-19, 17:12:26, EN21-5-106, Inside, TutRm, 00:1a:1e:85:e1:52,-65, No
